ID,County,State,TotalPop,Total income,poverty population,poverty percentage,percapitalincome
2519,Rolette,North Dakota,14657,264923894.0,4743.0,32.0,18075.0
2520,Rooks,Kansas,5148,130836682.0,582.0,11.0,25415.0
2521,Roosevelt,Montana,11218,202259640.0,3263.0,29.0,18030.0
2522,Roosevelt,New Mexico,19313,366067373.0,5167.0,27.0,18954.0
2523,Roscommon,Michigan,23934,534521915.0,4741.0,20.0,22333.0
2524,Roseau,Minnesota,15537,434029793.0,1437.0,9.0,27935.0
2525,Rosebud,Montana,9292,221441331.0,1773.0,19.0,23831.0
2526,Ross,Ohio,77125,1751852556.0,14586.0,19.0,22714.0
2527,Routt,Colorado,24359,928342341.0,2593.0,11.0,38111.0
2528,Rowan,Kentucky,24392,464228560.0,6520.0,27.0,19032.0
2529,Rowan,North Carolina,138940,3311994847.0,23368.0,17.0,23838.0
2530,Runnels,Texas,10266,227803922.0,1683.0,16.0,22190.0
2531,Rush,Indiana,16765,398147894.0,3067.0,18.0,23749.0
2532,Rush,Kansas,3119,81040237.0,210.0,7.0,25983.0
2533,Rusk,Texas,53026,1247226686.0,8383.0,16.0,23521.0
2534,Rusk,Wisconsin,14211,335000990.0,2163.0,15.0,23573.0
2535,Russell,Alabama,58480,1244407876.0,12249.0,21.0,21279.0
2536,Russell,Kansas,6987,179470558.0,962.0,14.0,25686.0
2537,Russell,Kentucky,17731,334351140.0,4488.0,25.0,18857.0
2538,Russell,Virginia,27725,600892938.0,4878.0,18.0,21673.0
2539,Rutherford,North Carolina,66523,1403125161.0,13017.0,20.0,21092.0
2540,Rutherford,Tennessee,298456,8336434090.0,36776.0,12.0,27932.0
2541,Rutland,Vermont,59676,1697354757.0,6826.0,11.0,28443.0
2542,Río Grande Municipio,Puerto Rico,51768,559289007.0,19710.0,38.0,10804.0
2543,Sabana Grande Municipio,Puerto Rico,23610,216225991.0,11567.0,49.0,9158.0
2544,Sabine,Texas,10429,217712506.0,2093.0,20.0,20876.0
2545,Sabine Parish,Louisiana,24145,554861750.0,4751.0,20.0,22980.0
2546,Sac,Iowa,9936,293128176.0,931.0,9.0,29502.0
2547,Sacramento,California,1495400,44402548815.0,249722.0,17.0,29693.0
2548,Sagadahoc,Maine,35149,1158049796.0,3994.0,11.0,32947.0
2549,Saginaw,Michigan,193803,4912547188.0,34164.0,18.0,25348.0
2550,Saguache,Colorado,6338,141125572.0,1331.0,21.0,22267.0
2551,Salem,New Jersey,63776,2020491662.0,9004.0,14.0,31681.0
2552,Salem city,Virginia,25521,769235738.0,2270.0,9.0,30141.0
2553,Salinas Municipio,Puerto Rico,29239,255494068.0,15671.0,54.0,8738.0
2554,Saline,Arkansas,116252,3302668169.0,9364.0,8.0,28410.0
2555,Saline,Illinois,24430,555166561.0,5054.0,21.0,22725.0
2556,Saline,Kansas,55334,1546627125.0,7015.0,13.0,27951.0
2557,Saline,Missouri,23010,499969757.0,3935.0,17.0,21728.0
2558,Saline,Nebraska,14325,319785969.0,1685.0,12.0,22324.0
2559,Salt Lake,Utah,1106700,33349038868.0,116696.0,11.0,30134.0
2560,Saluda,South Carolina,20228,412454512.0,4151.0,21.0,20390.0
2561,Sampson,North Carolina,63664,1328786284.0,15502.0,24.0,20872.0
2562,San Augustine,Texas,8403,177016630.0,2055.0,24.0,21066.0
2563,San Benito,California,58671,1760843234.0,5710.0,10.0,30012.0
2564,San Bernardino,California,2121220,48506267219.0,388082.0,18.0,22867.0
2565,San Diego,California,3283665,112794919999.0,436809.0,13.0,34350.0
2566,San Francisco,California,864263,51430166015.0,101776.0,12.0,59508.0
2567,San Germán Municipio,Puerto Rico,32937,314985992.0,17025.0,52.0,9563.0
2568,San Jacinto,Texas,27436,612019386.0,4730.0,17.0,22307.0
2569,San Joaquin,California,724153,17882259672.0,123907.0,17.0,24694.0
2570,San Juan,Colorado,569,16437841.0,19.0,3.0,28889.0
2571,San Juan,New Mexico,128221,2906177527.0,26548.0,21.0,22665.0
2572,San Juan,Utah,15193,264121464.0,4259.0,28.0,17384.0
2573,San Juan,Washington,16221,661558732.0,1728.0,11.0,40784.0
2574,San Juan Municipio,Puerto Rico,355181,6449928502.0,149046.0,42.0,18160.0
2575,San Lorenzo Municipio,Puerto Rico,38689,406116575.0,17652.0,46.0,10497.0
2576,San Luis Obispo,California,280119,9516199486.0,44294.0,16.0,33972.0
2577,San Mateo,California,763450,40856718576.0,55576.0,7.0,53516.0
2578,San Miguel,Colorado,7804,327880203.0,814.0,10.0,42014.0
2579,San Miguel,New Mexico,28203,507987259.0,8782.0,31.0,18012.0
2580,San Patricio,Texas,66867,1645801689.0,10224.0,15.0,24613.0
2581,San Saba,Texas,5851,131534554.0,989.0,17.0,22481.0
2582,San Sebastián Municipio,Puerto Rico,38970,314573989.0,21557.0,55.0,8072.0
2583,Sanborn,South Dakota,2366,75629190.0,230.0,10.0,31965.0
2584,Sanders,Montana,11414,262749442.0,2416.0,21.0,23020.0
2585,Sandoval,New Mexico,138815,3804414851.0,20379.0,15.0,27406.0
2586,Sandusky,Ohio,59559,1502005371.0,8069.0,14.0,25219.0
