Crash ID,Vehicle ID,Vehicle Ownership Code,Vehicle Special Use Code,Vehicle Type Code,Emergency Use Flag,Number of Trailers,Vehicle Movement Code,Vehicle Travel Direction From,Vehicle Travel Direction To,Vehicle Action Code,Vehicle Cause 1 Code,Vehicle Cause 2 Code,Vehicle Cause 3 Code,Vehicle Event 1 Code,Vehicle Event 2 Code,Vehicle Event 3 Code,Vehicle Exceeded Posted Speed Flag,Vehicle Hit & Run Flag,Safety Equipment Used Quantity,Safety Equipment Un-used Quantity,Safety Equipment Use Unknown Quantity,Vehicle Occupant Count,Vehicle Striking Flag
1826971,3440599,,,,,,,,,,,,,,,,,,,2,0,0,1
1826971,3440600,0,1,6,2,15,0,,,,,,0,0,1,0,0,1,0,,,,
1826971,3440600,,,,,,,,,,,,,,,,,,,1,0,0,1
1827119,,,,,,,,,,,,,,,,,,,,,,,
1827119,3440861,0,1,1,5,0,0,,,,,,0,0,1,0,0,1,1,,,,
1827119,3440861,,,,,,,,,,,,,,,,,,,1,0,0,1
1827119,3440862,0,3,5,7,0,0,,,,,,0,0,1,0,0,1,0,,,,
1827119,3440862,,,,,,,,,,,,,,,,,,,1,0,0,1
1827863,,,,,,,,,,,,,,,,,,,,,,,
1827863,3442222,0,1,7,3,0,0,,,,,,0,0,1,0,0,1,1,,,,
1827863,3442222,,,,,,,,,,,,,,,,,,,1,0,0,1
1827863,0,,,,,,,,,,,,,,,,,,,3,0,0,1
1827872,,,,,,,,,,,,,,,,,,,,,,,
1827872,3442235,0,1,3,7,0,0,,,13,121,,0,0,0,0,1,1,1,,,,
1827872,3442235,,,,,,,,,,,,,,,,,,,1,0,0,2
1827872,3442236,0,7,3,7,9,0,,,,,,0,0,0,0,0,0,0,,,,
1827907,,,,,,,,,,,,,,,,,,,,,,,
1827907,3442305,0,1,1,5,0,0,,,,,,0,0,1,0,0,1,1,,,,
1827907,3442305,,,,,,,,,,,,,,,,,,,1,0,0,2
1827907,3442306,0,1,7,3,0,0,,,,,,0,0,1,0,0,1,0,,,,
1827907,3442306,,,,,,,,,,,,,,,,,,,1,0,0,2
1828231,,,,,,,,,,,,,,,,,,,,,,,
1828231,3442919,0,1,3,7,0,0,,,10,,,0,0,1,0,0,1,1,,,,
1828231,3442919,,,,,,,,,,,,,,,,,,,1,0,0,1
1828231,3442920,0,1,7,3,0,0,,,,,,0,0,0,0,1,1,0,,,,
1828231,3442920,,,,,,,,,,,,,,,,,,,1,0,0,2
1828287,,,,,,,,,,,,,,,,,,,,,,,
1828287,3443029,0,1,7,3,7,0,,,,,,0,0,1,0,0,1,1,,,,
1828287,3443029,,,,,,,,,,,,,,,,,,,1,0,0,2
1828287,3443030,0,6,7,3,11,0,,,,,,0,0,0,0,1,1,0,,,,
1828287,3443030,,,,,,,,,,,,,,,,,,,1,0,0,9
1828314,,,,,,,,,,,,,,,,,,,,,,,
1828314,3443074,0,1,7,3,0,0,,,40,62,,0,0,0,0,1,1,1,,,,
1828314,3443074,,,,,,,,,,,,,,,,,,,1,0,0,1
1828373,,,,,,,,,,,,,,,,,,,,,,,
1828373,3443178,0,3,3,5,0,0,,,,,,0,0,1,0,0,1,1,,,,
1828373,3443178,,,,,,,,,,,,,,,,,,,1,0,0,1
1828373,3443179,0,1,7,3,0,0,,,,,,1,0,1,0,0,1,0,,,,
1828373,3443179,,,,,,,,,,,,,,,,,,,1,0,0,1
1828552,,,,,,,,,,,,,,,,,,,,,,,
1828552,3443504,0,1,1,5,0,0,,,,,,0,0,1,0,0,1,1,,,,
1828552,3443504,,,,,,,,,,,,,,,,,,,1,0,0,2
1828552,3443505,0,6,1,5,11,0,,,,,,0,0,1,0,0,1,0,,,,
1828552,3443505,,,,,,,,,,,,,,,,,,,1,0,0,1
1828709,,,,,,,,,,,,,,,,,,,,,,,
1828709,3443834,0,1,4,8,0,0,,,,,,0,0,0,0,1,1,1,,,,
1828709,3443834,,,,,,,,,,,,,,,,,,,1,0,0,1
1828709,3443835,0,6,4,8,11,0,,,13,,,0,0,1,0,0,1,0,,,,
1828709,3443835,,,,,,,,,,,,,,,,,,,1,0,0,1
1828709,3443836,0,6,4,8,11,0,,,,,,0,0,0,0,1,1,0,,,,
1828709,3443836,,,,,,,,,,,,,,,,,,,1,0,0,9
1828977,,,,,,,,,,,,,,,,,,,,,,,
1828977,3444351,0,1,4,8,0,0,,,,,,0,0,1,0,0,1,1,,,,
1828977,3444351,,,,,,,,,,,,,,,,,,,1,0,0,2
1828977,3444352,0,6,4,8,11,0,,,,,,0,0,1,0,0,1,0,,,,
1828977,3444352,,,,,,,,,,,,,,,,,,,1,0,0,2
1828982,,,,,,,,,,,,,,,,,,,,,,,
1828982,3444361,0,1,7,3,0,0,,,,,,0,0,0,0,1,1,1,,,,
1828982,3444361,,,,,,,,,,,,,,,,,,,1,0,0,1
